point,value,x,y
23,131,35.8465258,14.8481171
24,131,27.4357431,27.4357431
26,131,-1.87E-14,58.2
28,128.9,-29.1,50.4026785
38,128.9,0,-58.2
39,128.9,15.0632684,-56.216883
41,131,41.1536146,-41.153614
43,131,56.216883,-15.063268
53,131,-43.11225,64.5220419
54,128.9,-54.871486,54.8714862
56,128.9,-71.693051,29.6962343
58,128.9,-77.6,-1.93E-13
68,128.9,29.6962343,-71.693051
69,131,43.11225,-64.522041
71,131,64.5220419,-43.11225
73,131,76.1089377,-15.139008
20,128.9,27.4357431,-27.435743
35,128.9,-41.153614,-41.153614
50,128.9,-5.94E-14,77.6
80,131,29.6962343,71.6930517
95,131,-86.427632,-44.037078
110,131,92.252482,-29.974648
65,128.9,-15.139008,-76.108937
33,128.9,-56.216883,-15.063268
48,128.9,29.1,50.4026785
63,131,-43.11225,-64.522041
78,131,54.8714862,54.8714862
93,131,-95.805769,-15.174143
108,128.9,78.4746484,-57.015169
21,128.9,35.8465258,-14.848117
22,128.9,38.8,-2.38E-15
25,131,14.8481171,35.8465258
27,131,-15.063268,56.216883
31,131,-56.216883,15.0632684
34,128.9,-50.402678,-29.1
36,128.9,-29.1,-50.402678
37,128.9,-15.063268,-56.216883
40,132.5,29.1,-50.402678
42,132.5,50.4026785,-29.1
46,132.5,50.4026785,29.1
49,131,15.0632684,56.216883
51,131,-15.139008,76.1089377
52,131,-29.696234,71.6930517
55,128.9,-64.522041,43.11225
57,128.9,-76.108937,15.1390089
61,128.9,-64.522041,-43.11225
64,132.5,-29.696234,-71.693051
66,132.5,0,-77.6
67,132.5,15.1390089,-76.108937
70,132.5,54.8714862,-54.871486
72,132.5,71.6930517,-29.696234
76,132.5,71.6930517,29.6962343
79,132.5,43.11225,64.5220419
81,132.5,15.1390089,76.1089377
82,132.5,1.19E-14,97
91,132.5,-95.805769,15.1741431
94,132.5,-92.252482,-29.974648
96,132.5,-78.474648,-57.015169
97,132.5,-68.589357,-68.589357
102,132.5,0,-97
106,132.5,57.0151694,-78.474648
109,132.5,86.4276328,-44.037078
111,132.5,95.805769,-15.174143
121,132.5,15.1741431,95.805769
7,132,13.7178715,-13.717871
30,131.9,-50.402678,29.1
45,131.9,56.216883,15.0632684
60,131.9,-71.693051,-29.696234
75,131.9,76.1089377,15.1390089
90,131.9,-92.252482,29.9746484
2,131.5,2.38E-15,19.4
5,131.5,-13.717871,-13.717871
9,131.5,13.7178715,13.7178715
12,131.5,-27.435743,27.4357431
15,131.5,-35.846525,-14.848117
18,131.5,0,-38.8
84,131.5,-29.974648,92.252482
87,131.5,-68.589357,68.5893577
99,131.5,-44.037078,-86.427632
104,131.5,29.9746484,-92.252482
113,131.5,95.805769,15.1741431
116,131.5,78.4746484,57.0151694
119,131.5,44.0370784,86.4276328
1,131,0,0
4,131,-19.4,3.56E-15
8,131,19.4,-1.19E-15
11,131,-14.848117,35.8465258
14,131,-38.8,7.13E-15
17,131,-14.848117,-35.846525
29,131,-41.153614,41.1536146
32,131,-58.2,1.07E-14
44,131,58.2,-1.65E-14
47,131,41.1536146,41.1536146
59,131,-76.108937,-15.139008
62,131,-54.871486,-54.871486
74,131,77.6,-4.75E-15
77,131,64.5220419,43.11225
83,131,-15.174143,95.805769
86,131,-57.015169,78.4746484
92,131,-97,1.78E-14
98,131,-57.015169,-78.474648
103,131,15.1741431,-95.805769
107,131,68.5893577,-68.589357
112,131,97,-5.94E-15
115,131,86.4276328,44.0370784
118,131,57.0151694,78.4746484
3,128.9,-13.717871,13.7178715
6,128.9,0,-19.4
10,128.9,4.75E-15,38.8
13,128.9,-35.846525,14.8481171
16,128.9,-27.435743,-27.435743
19,128.9,14.8481171,-35.846525
85,128.9,-44.037078,86.4276328
88,128.9,-78.474648,57.0151694
89,128.9,-86.427632,44.0370784
100,128.9,-29.974648,-92.252482
101,128.9,-15.174143,-95.805769
105,128.9,44.0370784,-86.427632
114,128.9,92.252482,29.9746484
117,128.9,68.5893577,68.5893577
120,128.9,29.9746484,92.252482
